message,label
"Congratulations! You've won a free iPhone. Click here to claim now!",spam
"Reminder: your appointment is scheduled for tomorrow at 3 PM.",ham
"Free entry in a weekly contest. Win $1,000 cash!",spam
"Are we still meeting for lunch today?",ham
"Get cheap meds online without a prescription.",spam
"Don't forget to bring your laptop to the meeting.",ham
"Claim your prize now! You have been selected for a free vacation.",spam
"Can you send me the notes from today's class?",ham
"URGENT! Your account has been compromised. Click this link now.",spam
"Let's catch up tomorrow evening.",ham
"Win cash rewards instantly by signing up today.",spam
"Please review the attached project document.",ham
"Limited offer! Buy now and get 90% discount.",spam
"Your package will be delivered tomorrow.",ham
"Congratulations, you are our lucky winner!",spam
"Can we reschedule the meeting to Monday?",ham
